id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	36	36	0	36	0	0
2	0	70	70	74	4	0	4	0	0
4	0	99	109	125	9	7	26	10	10
3	0	98	98	132	16	18	34	0	0
5	0	169	169	202	28	5	33	0	0
6	0	201	202	205	3	0	4	1	1
7	0	327	327	341	10	4	14	0	0
8	0	387	387	400	13	0	13	0	0
9	0	404	404	468	62	2	64	0	0
11	0	466	476	482	6	0	16	10	10
13	0	524	539	543	4	0	19	15	15
12	0	469	482	604	55	21	135	59	13
10	0	465	468	613	79	10	148	59	3
14	0	578	586	624	12	4	46	30	8
15	0	631	631	655	22	2	24	0	0
17	0	692	698	715	17	0	23	6	6
16	0	684	684	739	38	3	55	14	0
18	0	758	758	760	2	0	2	0	0
19	0	799	799	905	75	31	106	0	0
20	0	905	905	923	7	11	18	0	0
21	0	922	923	1005	74	8	83	1	1
22	0	931	954	1008	6	2	77	69	23
23	0	970	1008	1012	4	0	42	38	38
24	0	986	1012	1046	12	6	60	42	26
25	0	1001	1013	1098	44	8	97	45	12
27	0	1070	1098	1117	19	0	47	28	28
26	0	1037	1046	1130	41	6	93	46	9
29	0	1092	1130	1156	22	1	64	41	38
28	0	1080	1117	1168	17	23	88	48	37
31	0	1168	1174	1186	12	0	18	6	6
30	0	1167	1168	1202	22	2	35	11	1
33	0	1366	1367	1375	8	0	9	1	1
32	0	1254	1254	1400	127	15	146	4	0
35	0	1452	1488	1513	22	3	61	36	36
34	0	1448	1448	1517	47	8	69	14	0
37	0	1565	1579	1613	24	10	48	14	14
36	0	1558	1558	1634	37	18	76	21	0
39	0	1630	1634	1665	31	0	35	4	4
38	0	1613	1620	1677	21	2	64	41	7
41	0	1744	1744	1757	13	0	13	0	0
40	0	1714	1714	1802	46	41	88	1	0
43	0	1771	1802	1816	14	0	45	31	31
42	0	1745	1757	1818	15	1	73	57	12
45	0	1963	1963	1994	31	0	31	0	0
46	0	1968	2016	2026	10	0	58	48	48
44	0	1911	1911	2031	57	26	120	37	0
50	0	2061	2133	2144	11	0	83	72	72
48	0	2053	2096	2148	11	7	95	77	43
49	0	2059	2103	2157	38	6	98	54	44
47	0	2035	2035	2158	63	16	123	44	0
0	0	0	0	2158	761	0	2158	1397	0
